PROPERTY_TYPE,CITY,LOCALITY_NAME,BEDROOM_NUM,FURNISH,MIN_AREA_SQFT,MAX_AREA_SQFT,PRICE_PER_UNIT_AREA,PRICE,AGE,TOTAL_FLOOR,FLOOR_NUM,BALCONY_NUM,FACING,PROP_ID,AMENITIES,FEATURES,IS_PREMIUM
Residential Apartment,Mumbai Andheri-Dahisar,Andheri East,1,0,590,590,14082,8308380,2,19,5,0,3,PROP00021,"47,45,19,21,12","20,8,1,28",True
Residential Apartment,Mumbai Andheri-Dahisar,Malad West,1,1,349,349,15961,5570389,20,5,3,2,2,PROP00022,"41,23,25,42,46,24,21,1,47",17,False
Residential Apartment,Mumbai Andheri-Dahisar,Malad West,1,1,449,449,21557,9679093,0,28,21,1,7,PROP00023,"44,32,24,29,17,23","19,20",True
Farm House,Central Mumbai suburbs,Bhandup West,3,1,966,966,25612,24741192,1,2,2,1,3,PROP00024,"42,19,1,12,46,25,41,44,21",20,False
Residential Apartment,Mira Road And Beyond,Vasai,3,0,978,978,13985,13677330,1,3,3,2,8,PROP00025,"1,24,40,17,45,21,19","6,8,30",False
Residential Apartment,Mira Road And Beyond,Vasai,3,2,1182,1182,9941,11750262,0,18,5,1,5,PROP00026,"42,44,46,24,47,21","9,30",False
Serviced Apartments,Mumbai Andheri-Dahisar,Borivali West,3,0,1213,1213,13791,16728483,0,11,6,3,3,PROP00027,"23,19,17","17,19,20",True
Residential Apartment,Mumbai Beyond Thane,Badlapur,3,0,913,913,7525,6870325,7,21,17,0,7,PROP00028,"19,32,45,41,44,24,26","17,19,1,6",True
Residential Apartment,Mumbai Andheri-Dahisar,Jogeshwari West,3,0,1265,1265,23013,29111445,10,21,4,1,7,PROP00029,"41,19,44,12,42","19,20",False
Residential Apartment,Mumbai Andheri-Dahisar,Dahisar East,4,0,1679,1679,24733,41526707,1,23,9,3,2,PROP00030,"29,21,17,24,1,42,47,23","6,20",True
Residential Apartment,Central Mumbai suburbs,Bhandup West,4,0,1416,1416,16063,22745208,15,23,16,1,6,PROP00031,"12,40,45,42,25,32,29,23,1","20,1,9,8",True
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,2,0,556,556,18872,10492832,2,22,22,2,1,PROP00032,"1,46,12,29","30,8,19",False
Residential Apartment,Navi Mumbai,Vashi,2,1,713,713,14564,10384132,1,3,2,3,4,PROP00033,"1,44,45,41,17,40,46","1,30",False
Residential Apartment,Navi Mumbai,Panvel,3,0,1218,1218,8007,9752526,4,2,2,1,6,PROP00034,"26,44,42,17,21,25,46,47,45","8,9",False
Residential Land,Mumbai Andheri-Dahisar,Andheri East,3,2,904,904,19776,17877504,2,27,5,1,1,PROP00035,"26,24,45,17,44,1",19,False
Residential Apartment,South Mumbai,Fort,2,2,898,898,64255,57700990,3,9,9,2,7,PROP00036,"47,44,24","19,6,17",True
Residential Apartment,Mumbai Andheri-Dahisar,Jogeshwari West,4,1,1805,1805,21958,39634190,10,6,3,2,4,PROP00037,"44,12,17,47,46,29","30,20,6",True
Independent/Builder Floor,Central Mumbai suburbs,Kanjurmarg,2,1,562,562,28189,15842218,3,19,14,2,2,PROP00038,"46,24,32,25,12,41,45,19,21","20,30,6",True
Residential Apartment,Central Mumbai suburbs,Bhandup West,1,0,478,478,29128,13923184,7,17,12,1,1,PROP00039,"46,12,25","20,30,6",False
Independent/Builder Floor,Central Mumbai suburbs,Vikhroli,3,0,942,942,16738,15767196,1,15,7,2,6,PROP00040,"32,23,42,47,29,21,46",1,False
Residential Apartment,Mira Road And Beyond,Bhayander East,4,0,1539,1539,12836,19754604,7,22,18,0,5,PROP00041,"12,23,29,21,46,24","9,6,1",False
Independent House/Villa,Navi Mumbai,Kharghar,3,2,1295,1295,11810,15293950,5,26,9,1,2,PROP00042,"12,19,42,40,23,21,25","19,9,17,30",False
Residential Apartment,Thane,Ghodbunder Road,2,2,580,580,18778,10891240,20,21,18,1,4,PROP00043,"40,1,42,29,32,17,19,25,45","30,28",False
Residential Apartment,South Mumbai,Worli,1,2,499,499,82519,41176981,2,8,7,0,5,PROP00044,"46,24,32,1,47,17",6,True
Residential Land,Mumbai Harbour,Sewri,4,0,1378,1378,25544,35199632,0,15,4,2,4,PROP00045,"25,46,42,21,1,44,24,29","17,30,8",False
Independent House/Villa,Mumbai Beyond Thane,Ulhasnagar,5,0,1955,1955,9742,19045610,1,14,5,1,5,PROP00046,"46,21,23,26,19,42,40,44,32","30,9,6,19",False
Independent House/Villa,Mumbai Beyond Thane,Ambernath,2,1,681,681,6798,4629438,5,23,22,1,4,PROP00047,"24,29,45,46","30,9,8,28",True
Serviced Apartments,Central Mumbai suburbs,Bhandup West,2,2,584,584,15870,9268080,0,17,14,2,7,PROP00048,"40,12,25,44,23,1,46,21,45","17,28,19",False
Independent/Builder Floor,Navi Mumbai,Nerul,4,0,1320,1320,9139,12063480,3,3,1,2,3,PROP00049,"44,23,12,25,29","28,9",True
Independent House/Villa,Mumbai Harbour,Chembur,3,1,1344,1344,26623,35781312,5,28,4,2,5,PROP00050,"23,1,41",1,False
Residential Apartment,Navi Mumbai,Panvel,2,0,704,704,10063,7084352,0,3,2,1,6,PROP00051,"12,24,47,32,26,41",19,True
Residential Apartment,Thane,Manpada,5,1,3027,3027,10255,31041885,0,12,7,2,2,PROP00052,"26,1,32,42,21","8,20,9",False
Studio Apartment,Central Mumbai suburbs,Bhandup West,1,0,459,459,19151,8790309,5,22,19,2,7,PROP00053,"24,29,21,26,47","8,1,6,17",True
Residential Apartment,Mumbai Beyond Thane,Ambernath,2,0,724,724,11931,8638044,15,14,8,0,7,PROP00054,"1,41,17,24,12,21,26","20,28,6",False
Residential Apartment,Mira Road And Beyond,Vasai,2,2,722,722,10002,7221444,1,20,20,1,3,PROP00055,"12,17,26,23","8,28",True
Residential Apartment,Mira Road And Beyond,Mira Road,3,0,999,999,14489,14474511,1,18,3,1,8,PROP00056,"46,1,42,21,24,17","28,19",True
Farm House,Mumbai Andheri-Dahisar,Goregaon East,3,2,1317,1317,15178,19989426,7,5,4,0,5,PROP00057,"47,32,41","8,20,28",False
Independent House/Villa,Central Mumbai suburbs,Vikhroli,1,1,529,529,22356,11826324,20,14,8,1,6,PROP00058,"21,17,47","9,17,6",False
Residential Land,Mira Road And Beyond,Naigaon,4,2,1592,1592,13845,22041240,20,3,1,2,1,PROP00059,"41,17,40,23","1,9",False
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,4,0,1220,1220,21726,26505720,10,2,1,1,8,PROP00060,"42,46,29,24,1,12,25,40","20,1,28,30",False
Independent/Builder Floor,Central Mumbai suburbs,Mulund West,1,1,525,525,15230,7995750,0,14,12,1,2,PROP00061,"42,17,19,41,25,44","19,1,9",True
Residential Apartment,Mira Road And Beyond,Naigaon,4,1,2029,2029,8151,16538379,2,18,5,1,6,PROP00062,"12,40,29,47,41,45",1,False
Residential Apartment,South Mumbai,Worli,3,2,1068,1068,97395,104017860,0,8,2,2,2,PROP00063,"21,42,40,26,46,32,24,29",20,True
Residential Apartment,Thane,Thane West,1,0,395,395,18496,7305920,5,13,11,0,6,PROP00064,"21,26,32","1,6,28",False
Residential Apartment,Central Mumbai suburbs,Vikhroli,3,0,1245,1245,21855,27209475,20,2,2,2,7,PROP00065,"47,17,32,41,26,19,40,46","30,19,8",False
Residential Apartment,Mumbai South West,Khar West,2,1,830,830,30091,24975530,3,25,5,1,6,PROP00066,"23,12,45,44,17,25,1,47,41","28,6",True
Independent House/Villa,Central Mumbai suburbs,Kanjurmarg,4,1,1619,1619,22149,35859231,0,3,2,2,8,PROP00067,"32,29,26,24,25,40",6,False
Residential Apartment,Thane,Ghodbunder Road,3,1,1336,1336,12142,16221712,4,10,6,1,6,PROP00068,"45,25,21,17,12","20,30",False
Residential Apartment,South Mumbai,Worli,2,0,723,723,49435,35741505,0,29,20,1,6,PROP00069,"21,25,12","1,9,20",False
Independent House/Villa,Central Mumbai suburbs,Kanjurmarg,3,2,1287,1287,20945,26956215,20,15,10,2,1,PROP00070,"12,1,25,29,47,40,23","20,6,30",True
Residential Apartment,Mumbai Beyond Thane,Dombivli,1,1,484,484,9291,4496844,4,28,4,1,4,PROP00071,"29,47,12,41","28,19",False
Residential Apartment,Mira Road And Beyond,Naigaon,3,2,1101,1101,11651,12827751,15,17,13,1,1,PROP00072,"29,42,19,41,46,25,26,17,1","20,1,19,6",True
Residential Apartment,Mumbai Andheri-Dahisar,Dahisar East,2,2,592,592,22318,13212256,3,10,2,3,5,PROP00073,"42,17,23,44,21,41,40","19,1,30",False
Residential Apartment,Mumbai Andheri-Dahisar,Andheri East,2,1,748,748,24971,18678308,5,10,1,2,5,PROP00074,"26,1,47,45,24,29,23,17,42","28,1,30,17",False
Residential Apartment,Mumbai Harbour,Cotton Green,4,2,1925,1925,27975,53851875,10,17,4,1,5,PROP00075,"24,1,44","17,1",True
Residential Apartment,Central Mumbai suburbs,Powai,1,2,316,316,22844,7218704,3,13,9,1,4,PROP00076,"17,40,42,46,32,25,47,44,29",8,True
Residential Apartment,Mira Road And Beyond,Vasai,2,0,597,597,13259,7915623,4,6,3,1,2,PROP00077,"26,24,1,42,45,17,25,32,19",30,False
Residential Land,Mumbai Andheri-Dahisar,Malad West,5,0,2392,2392,19237,46014904,2,2,2,2,4,PROP00078,"45,23,47,17,12","17,30,20,19",True
Residential Apartment,Central Mumbai suburbs,Bhandup West,2,0,555,555,15746,8739030,2,21,15,1,7,PROP00079,"32,45,1,26,12,46,25,24,17","30,17,19,6",True
Independent House/Villa,Navi Mumbai,Belapur,3,0,1273,1273,14279,18177167,2,5,1,3,8,PROP00080,"26,32,17,12,45","8,28,30",False
Residential Apartment,South Mumbai,Fort,1,2,562,562,82177,46183474,1,4,3,1,2,PROP00081,"47,17,19,29,24,41,21","9,19",False
Residential Land,Thane,Manpada,2,0,802,802,10610,8509220,0,4,2,2,8,PROP00082,"21,1,47,25,42,40,23,12","6,19,17,1",False
Independent/Builder Floor,Central Mumbai suburbs,Bhandup West,5,0,3275,3275,17901,58625775,2,2,1,1,4,PROP00083,"12,25,26,42,17,21,32,29,45","6,19",False
Residential Land,Mumbai South West,Khar West,5,0,2878,2878,35400,101881200,5,20,15,3,4,PROP00084,"40,24,41,44,45,1,47,12","19,8,28",False
Residential Apartment,Mumbai South West,Santacruz West,3,0,1033,1033,41664,43038912,0,20,20,0,7,PROP00085,"1,42,41","1,20,30",True
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,4,0,1490,1490,17927,26711230,20,17,4,2,5,PROP00086,"19,23,12,47,40,25",17,False
Residential Apartment,Mumbai Andheri-Dahisar,Dahisar East,2,0,562,562,13471,7570702,4,7,1,1,4,PROP00087,"26,21,24,23","17,1,19,28",True
Residential Land,Mira Road And Beyond,Bhayander West,4,0,1972,1972,13985,27578420,2,22,18,1,2,PROP00088,"17,46,47,23,12,42,24,45,40","28,30,9,8",False
Serviced Apartments,Mumbai Harbour,Wadala,1,0,332,332,22310,7406920,4,28,13,3,8,PROP00089,"41,40,26,17,45,47,42","1,30,20",False
Farm House,Central Mumbai suburbs,Vikhroli,5,0,3531,3531,21908,77357148,0,10,4,1,8,PROP00090,"17,26,45","6,28,17",False
Residential Apartment,Mumbai Andheri-Dahisar,Jogeshwari West,2,0,790,790,23175,18308250,1,4,3,2,3,PROP00091,"46,40,25,29,23,42,26,47,19","19,30,28,6",True
Independent House/Villa,Mumbai South West,Bandra West,4,0,1458,1458,37351,54457758,0,11,1,3,6,PROP00092,"45,12,21,44,32,40,19","30,8",True
Residential Apartment,Mira Road And Beyond,Naigaon,2,1,695,695,14435,10032325,7,11,3,1,6,PROP00093,"42,46,24,21,41,47","6,1",False
Serviced Apartments,Thane,Thane West,3,0,1184,1184,11289,13366176,1,5,2,0,8,PROP00094,"32,1,40,25,45,46,23,41,47","6,28,8,17",False
Residential Apartment,Mumbai Harbour,Sewri,2,2,560,560,16670,9335200,1,12,4,0,1,PROP00095,"42,32,24,45","9,6",True
Residential Apartment,Mumbai South West,Bandra West,3,1,1237,1237,42021,51979977,20,28,22,1,8,PROP00096,"17,24,1,19,12,44,26,41","1,6,19,9",False
Residential Apartment,Mumbai Harbour,Chembur,3,0,922,922,19988,18428936,10,20,12,2,1,PROP00097,"24,26,44","17,8",False
Independent House/Villa,Thane,Manpada,3,0,1226,1226,12904,15820304,0,16,14,2,6,PROP00098,"17,41,47,24","8,6",False
Independent House/Villa,Navi Mumbai,Airoli,4,0,2019,2019,17517,35366823,2,26,3,1,5,PROP00099,"32,25,42,29","19,17",False
Farm House,Central Mumbai suburbs,Powai,5,0,2880,2880,16724,48165120,15,4,4,1,2,PROP00100,"41,47,46,19","8,9,20,30",True
Residential Apartment,Mumbai Harbour,Sewri,2,1,899,899,21026,18902374,4,3,1,0,8,PROP00101,"12,26,40,45,19,1,21","17,8",True
Residential Apartment,Mumbai South West,Bandra West,2,0,747,747,24881,18586107,4,16,14,1,1,PROP00102,"41,44,29,24,47","1,30,28,17",False
Residential Apartment,Mumbai Andheri-Dahisar,Andheri East,3,0,947,947,18814,17816858,10,18,9,2,5,PROP00103,"42,29,40,41,47,19,21,1,46",1,False
Residential Apartment,Mira Road And Beyond,Vasai,2,0,834,834,10173,8484282,0,13,9,1,7,PROP00104,"17,29,26,45,32","6,17",True
Residential Apartment,Central Mumbai suburbs,Kanjurmarg,3,2,879,879,28018,24627822,2,20,16,1,6,PROP00105,"17,42,19,12","1,28",False
Residential Apartment,Mumbai South West,Juhu,3,0,1059,1059,28848,30550032,3,17,3,1,8,PROP00106,"26,25,17,32,42,41,12,23,45","20,28,8",True
Residential Apartment,Mira Road And Beyond,Mira Road,3,0,973,973,11574,11261502,0,12,3,1,2,PROP00107,"19,29,26",20,False
Independent/Builder Floor,Mumbai Andheri-Dahisar,Borivali West,3,2,1353,1353,24201,32743953,0,16,8,1,7,PROP00108,"12,26,47,25,46,29,21,44","9,6,8",False
Residential Apartment,Mumbai Harbour,Wadala,3,1,1368,1368,15658,21420144,1,10,7,1,1,PROP00109,"19,46,24,29,41,40,44,25","28,17",False
Residential Apartment,Mumbai South West,Bandra West,2,2,735,735,22866,16806510,0,6,6,1,4,PROP00110,"47,12,21,44,45,29,41",28,False
Residential Apartment,South Mumbai,Matunga,5,0,3669,3669,49352,181072488,0,13,9,2,8,PROP00111,"29,41,42,32,40,44,25,46","20,6,17,8",False
Residential Land,Mira Road And Beyond,Naigaon,2,0,941,941,10113,9516333,3,22,19,1,3,PROP00112,"1,23,26","9,30,1,28",True
Residential Land,Mira Road And Beyond,Mira Road,4,0,1593,1593,9552,15216336,2,11,8,3,3,PROP00113,"25,40,23,17,12,21,19,47",30,False
Residential Apartment,Thane,Ghodbunder Road,3,0,1277,1277,15874,20271098,5,25,14,2,7,PROP00114,"47,12,29","30,8,20,9",False
Independent House/Villa,Mumbai Andheri-Dahisar,Andheri East,4,0,1458,1458,13329,19433682,0,13,5,1,5,PROP00115,"32,17,21,25,40,29,42,24",30,False
Independent House/Villa,South Mumbai,Prabhadevi,3,0,1105,1105,31818,35158890,0,8,7,1,3,PROP00116,"24,42,45,29,17","17,8,20,28",False
Residential Apartment,Thane,Ghodbunder Road,4,0,1721,1721,14458,24882218,1,28,28,2,3,PROP00117,"44,47,46,40,29,12,19","9,28",True
Residential Apartment,Central Mumbai suburbs,Powai,3,1,1065,1065,28608,30467520,10,15,9,3,4,PROP00118,"1,42,44","6,8,9,1",False
Residential Apartment,South Mumbai,Colaba,1,0,478,478,95440,45620320,0,16,3,1,3,PROP00119,"45,42,19,26","28,30",False
Residential Apartment,Central Mumbai suburbs,Powai,1,2,627,627,22096,13854192,3,26,15,1,6,PROP00120,"42,45,19,40,17,26,29,1","19,30,1,17",False
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,2,2,616,616,13644,8404704,0,17,7,2,6,PROP00121,"41,19,26,46,32,40,47",28,False
Residential Apartment,Mumbai Andheri-Dahisar,Jogeshwari West,5,1,3762,3762,16938,63720756,1,21,11,3,3,PROP00122,"42,1,44,26,21","30,8",False
Independent House/Villa,Mumbai South West,Vile Parle West,1,1,531,531,35515,18858465,1,3,2,1,7,PROP00123,"40,12,47,25,44,42,26,1",20,True
Serviced Apartments,South Mumbai,Prabhadevi,2,0,874,874,43399,37930726,10,28,10,3,3,PROP00124,"45,25,42","1,30",False
Residential Apartment,Thane,Thane West,3,0,888,888,18270,16223760,10,1,1,2,1,PROP00125,"46,19,40,12,47,42,24,32","17,1,20,9",False
Independent House/Villa,Mumbai Beyond Thane,Kalyan,3,0,1076,1076,8778,9445128,3,9,8,2,2,PROP00126,"25,21,23","28,20",False
Residential Apartment,Central Mumbai suburbs,Powai,5,2,3791,3791,26243,99487213,1,2,1,1,7,PROP00127,"26,44,41,32,19,12","19,28,6",False
Residential Apartment,Mumbai South West,Santacruz West,1,0,461,461,27576,12712536,20,2,1,1,1,PROP00128,"24,45,40,42,47,32,26,21","17,19,6,8",False
Residential Apartment,Mumbai Beyond Thane,Badlapur,2,2,671,671,7638,5125098,3,9,5,2,8,PROP00129,"1,23,47","9,1,8,30",True
Residential Apartment,Mira Road And Beyond,Bhayander West,2,1,872,872,9070,7909040,7,4,4,2,4,PROP00130,"12,44,17,25,32,40,42,21,47","8,20",True
Residential Apartment,South Mumbai,Dadar West,3,0,1075,1075,53816,57852200,4,24,23,1,7,PROP00131,"41,40,24,26,25,17","30,28,6",False
Residential Apartment,Mumbai Andheri-Dahisar,Kandivali West,5,0,3977,3977,18826,74871002,7,22,2,1,6,PROP00132,"19,47,40,32,25,26","6,9,17",True
Farm House,Navi Mumbai,Belapur,4,1,2025,2025,16253,32912325,7,2,1,3,2,PROP00133,"29,42,21,32","19,20",False
Residential Apartment,Mumbai South West,Bandra West,2,1,924,924,34994,32334456,5,2,1,0,2,PROP00134,"44,45,1,41,32,17","8,6,20,19",False
Residential Apartment,Thane,Thane East,3,2,1270,1270,13704,17404080,1,17,16,2,7,PROP00135,"26,29,41","8,9,28",False
Residential Apartment,Mumbai Andheri-Dahisar,Dahisar East,3,0,864,864,20306,17544384,2,3,2,3,4,PROP00136,"40,25,46,19,44,12,29,42,26","6,8,1",True
Residential Apartment,Central Mumbai suburbs,Powai,3,0,1100,1100,26021,28623100,2,21,14,2,7,PROP00137,"1,17,23,32,12,44,25,41,42","20,8,6",False
Residential Apartment,Central Mumbai suburbs,Bhandup West,1,0,579,579,16707,9673353,4,3,3,1,7,PROP00138,"40,1,47","20,30",False
Residential Land,South Mumbai,Parel,3,1,873,873,38967,34018191,3,27,23,0,2,PROP00139,"26,21,42,44","1,6,8,9",False
Serviced Apartments,Mumbai Andheri-Dahisar,Jogeshwari West,2,0,665,665,15309,10180485,1,25,10,1,2,PROP00140,"1,45,32,47,26","20,17",False
Residential Apartment,Mumbai South West,Bandra West,2,0,758,758,40138,30424604,1,9,9,2,1,PROP00141,"40,21,42,1,29,41,44,26",28,False
Independent/Builder Floor,Central Mumbai suburbs,Mulund West,4,0,1561,1561,19236,30027396,7,18,1,3,8,PROP00142,"23,21,47",8,False
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,4,0,1847,1847,21016,38816552,1,13,2,0,5,PROP00143,"32,24,23,19,46,1","20,6",False
Residential Apartment,Mira Road And Beyond,Naigaon,2,0,830,830,10059,8348970,5,28,9,1,6,PROP00144,"46,47,21","6,28,8,9",False
Residential Apartment,South Mumbai,Dadar West,3,0,1002,1002,89247,89425494,1,6,6,0,8,PROP00145,"1,17,24,26,45",20,False
Residential Apartment,Central Mumbai suburbs,Vikhroli,1,2,610,610,24380,14871800,0,8,1,1,2,PROP00146,"23,46,40,19,41,32","1,19",False
Studio Apartment,Mumbai Andheri-Dahisar,Kandivali West,1,0,364,364,15135,5509140,20,27,5,2,5,PROP00147,"29,40,32,42,25,44,21","1,8,6,17",False
Residential Apartment,Mumbai South West,Vile Parle West,4,2,1632,1632,40642,66327744,3,6,3,1,6,PROP00148,"1,32,12,45,21,19,17,41","19,6,8",False
Farm House,Navi Mumbai,Nerul,5,1,3764,3764,11463,43146732,20,2,1,1,4,PROP00149,"24,32,46,23,21","8,9",True
Independent/Builder Floor,Thane,Manpada,3,0,992,992,12154,12056768,2,28,25,1,5,PROP00150,"24,19,41,44,23,45,40,21",9,False
Serviced Apartments,Mumbai Andheri-Dahisar,Andheri West,2,0,853,853,17541,14962473,2,9,1,1,4,PROP00151,"44,25,24,29",17,False
Residential Apartment,South Mumbai,Colaba,4,0,1820,1820,67003,121945460,4,14,10,1,3,PROP00152,"19,1,24,21",9,False
Serviced Apartments,Mumbai Andheri-Dahisar,Borivali West,2,0,736,736,15479,11392544,0,7,1,3,5,PROP00153,"23,47,19","1,17,6",True
Residential Apartment,Mumbai Beyond Thane,Dombivli,2,2,893,893,8873,7923589,0,7,1,1,5,PROP00154,"1,21,40,24,44,12","30,8",False
Residential Apartment,Central Mumbai suburbs,Kanjurmarg,3,0,882,882,16416,14478912,7,12,6,1,7,PROP00155,"25,1,42,26,44,21,19,32,17","8,9",False
Residential Apartment,Navi Mumbai,Kharghar,2,0,620,620,17179,10650980,3,23,21,1,8,PROP00156,"40,45,24,21,12,1",1,False
Residential Apartment,South Mumbai,Dadar West,2,2,883,883,65481,57819723,2,15,4,0,4,PROP00157,"46,47,40,25,17",28,False
Residential Apartment,Mumbai Andheri-Dahisar,Borivali West,3,1,1356,1356,23263,31544628,0,17,16,2,3,PROP00158,"45,44,32,23,24,19,46","30,20,28",False
Residential Apartment,Mumbai Harbour,Cotton Green,4,1,2067,2067,14311,29580837,1,1,1,1,7,PROP00159,"1,19,40","17,28,9,19",True
Independent/Builder Floor,South Mumbai,Parel,1,2,601,601,76470,45958470,0,19,15,2,5,PROP00160,"1,19,24,21,25,29,12","8,28,30",False
Residential Apartment,Mumbai Beyond Thane,Dombivli,1,2,473,473,6495,3072135,5,19,1,1,5,PROP00161,"23,40,19,1","17,9,1,30",False
Residential Apartment,Thane,Manpada,3,1,1316,1316,13305,17509380,4,26,14,1,5,PROP00162,"12,47,42,29,32,21,46","9,17,8,1",False
Residential Apartment,Central Mumbai suburbs,Powai,3,2,1242,1242,20166,25046172,0,26,23,1,3,PROP00163,"44,40,45,24","30,8",False
Independent/Builder Floor,Mumbai Andheri-Dahisar,Malad West,2,2,596,596,18963,11301948,4,12,6,1,7,PROP00164,"25,44,12,29,46,47,40","19,6,8",False
Independent House/Villa,Mumbai Andheri-Dahisar,Goregaon East,3,2,1346,1346,22038,29663148,0,11,7,1,6,PROP00165,"21,24,19,29,26,12,1,23,42","9,8,28",False
Residential Apartment,Mumbai South West,Khar West,2,0,552,552,20517,11325384,2,9,3,1,8,PROP00166,"46,32,44,25,1,42,12","9,19,28",False
Residential Apartment,Mumbai South West,Khar West,2,0,730,730,21945,16019850,1,11,9,1,1,PROP00167,"19,32,25,41,26","20,1",True
Independent House/Villa,Mumbai South West,Santacruz West,4,0,1754,1754,34568,60632272,2,29,25,3,7,PROP00168,"25,12,21,23,32,41,1","20,17,6",False
Independent House/Villa,Navi Mumbai,Vashi,2,2,913,913,16383,14957679,1,4,2,3,4,PROP00169,"42,41,47","30,28,9,1",False
Residential Apartment,Mumbai Andheri-Dahisar,Andheri East,5,2,2224,2224,17701,39367024,2,24,23,1,1,PROP00170,"1,25,32,46,19","19,8,30",False
Independent/Builder Floor,Mumbai Andheri-Dahisar,Malad West,5,0,3364,3364,23030,77472920,2,21,16,1,6,PROP00171,"41,26,23,12,17,25,21,32,46","17,20,8,1",False
Residential Apartment,Mumbai Harbour,Reay Road,2,0,847,847,18412,15594964,2,6,1,2,2,PROP00172,"29,40,44,26",9,True
Residential Apartment,Mumbai Andheri-Dahisar,Malad West,3,1,1212,1212,20192,24472704,3,25,18,2,5,PROP00173,"19,42,41,23",19,False
Residential Apartment,Mumbai South West,Bandra West,5,0,2135,2135,31875,68053125,3,5,2,2,7,PROP00174,"44,42,24,41","17,1,8",True
Residential Apartment,Central Mumbai suburbs,Bhandup West,3,0,960,960,15220,14611200,15,17,17,3,7,PROP00175,"46,26,40,17","30,6,8,20",False
Residential Apartment,Mumbai Andheri-Dahisar,Kandivali West,3,0,1068,1068,24605,26278140,5,11,10,1,3,PROP00176,"41,46,45,25,44,17","28,9,6,17",False
Residential Apartment,Mumbai Beyond Thane,Dombivli,4,1,1216,1216,11288,13726208,4,3,3,2,4,PROP00177,"21,46,41,24,32,25,44","8,1,20,28",False
